,OPERADORA,ESTADO,MES,ANO_BASE,AREA_TRABALHO,RESPONSAVEL,IDADE,SEXO,SATISFACAO_GERAL,USOU_SEIS_MESES_ANTES,USOU_ATEND_TELEFONICO,USOU_ATEND_INTERNET,USOU_ATEND_LOJA,USOU_ATEND_CANAIS,PROBLEMAS_CREDITO,PROBLEMAS_LIGACOES,PROBLEMAS_3G4G,OUTRA_OPERADORA,CIDADE_x,COD_IBGE,QTD_RESIDENTES,RENDA_MENSAL,PESO,SATISFACAO,REGIAO,CIDADE_y,POPULACAO,RENDA_PERCAPITA,PER_CLASSE_A,PER_CLASSE_B,PER_CLASSE_C,PER_CLASSE_D,PER_CLASSE_E
11159,OI,CE,set,2018,2,1,34,1,1,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,1,954,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11160,OI,CE,set,2018,2,1,49,2,1,1,1,1,1,1,0,1,1,1,FORTALEZA,2304400.0,4,1592,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11161,OI,CE,set,2018,2,1,42,1,1,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,4,1500,1.657327825,9,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11162,OI,CE,set,2018,2,1,64,2,0,0,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,1,6000,1.657327825,5,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11163,OI,CE,set,2018,2,1,68,2,1,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,3,5000,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11164,OI,CE,set,2018,2,1,26,2,0,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,2,1500,1.657327825,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11165,OI,CE,set,2018,2,1,24,1,0,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,2,700,1.657327825,4,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11166,OI,CE,set,2018,2,0,50,1,1,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,2,1500,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11167,OI,CE,set,2018,2,1,34,2,0,0,1,1,1,1,1,1,1,1,FORTALEZA,2304400.0,2,980,1.657327825,2,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11168,OI,CE,set,2018,2,1,31,2,0,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,1,2000,1.657327825,6,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11169,OI,CE,set,2018,2,1,44,2,1,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,3,1500,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
